Names	total	elements
		pre-B-cell leukemia homeobox 3
		RNA binding motif protein 24
		B-cell CLL/lymphoma 6
		leucine zipper and CTNNBIP1 domain containing
		lysine (K)-specific demethylase 6B
		tumor protein p53 inducible nuclear protein 2
		ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 2
		sprouty-related, EVH1 domain containing 1
		MKL/myocardin-like 2
		DDHD domain containing 1
		son of sevenless homolog 1 (Drosophila)
		very low density lipoprotein receptor
		neuropilin (NRP) and tolloid (TLL)-like 2
		OTU domain containing 4
		ankyrin repeat domain 52
		ataxin 1-like
		solute carrier family 4 (sodium bicarbonate cotransporter), member 4
		bobby sox homolog (Drosophila)
		EF-hand calcium binding domain 14
		zinc finger protein 148
		karyopherin alpha 2 (RAG cohort 1, importin alpha 1)
		neuralized homolog 1B (Drosophila)
		SAM and SH3 domain containing 1
		ubiquitin specific peptidase 47
		RAP2C, member of RAS oncogene family
		paired related homeobox 1
		nuclear factor I/B
		NACC family member 2, BEN and BTB (POZ) domain containing
		tumor protein p53 inducible nuclear protein 1
		frizzled family receptor 4
		calpain 7
		Kruppel-like factor 12
		TAO kinase 1
		family with sequence similarity 199, X-linked
		T-cell acute lymphocytic leukemia 1
		heart development protein with EGF-like domains 1
		BCL2-like 11 (apoptosis facilitator)
		REV3-like, polymerase (DNA directed), zeta, catalytic subunit
		zinc finger and BTB domain containing 21
		EPH receptor A7
		p21 protein (Cdc42/Rac)-activated kinase 7
hsa-miR-106b-5p hsa-miR-758-3p	35	high mobility group box 3
		family with sequence similarity 13, member A
		thyroid hormone receptor interactor 11
		synemin, intermediate filament protein
		transcription factor 7-like 1 (T-cell specific, HMG-box)
		solute carrier family 38, member 1
